CONSTTK const
INTTK int
IDENFR hehe
LBRACK [
INTCON 2
RBRACK ]
LBRACK [
INTCON 7
RBRACK ]
ASSIGN =
LBRACE {
LBRACE {
INTCON 1
COMMA ,
INTCON 2
COMMA ,
INTCON 5
COMMA ,
INTCON 10
COMMA ,
INTCON 20
COMMA ,
INTCON 50
COMMA ,
INTCON 100
RBRACE }
COMMA ,
LBRACE {
INTCON 1
COMMA ,
INTCON 5
COMMA ,
INTCON 10
COMMA ,
INTCON 20
COMMA ,
INTCON 50
COMMA ,
INTCON 100
COMMA ,
INTCON 200
RBRACE }
RBRACE }
SEMICN ;
INTTK int
IDENFR min
LPARENT (
INTTK int
IDENFR a
COMMA ,
INTTK int
IDENFR b
RPARENT )
LBRACE {
IFTK if
LPARENT (
IDENFR a
GRE >
IDENFR b
RPARENT )
RETURNTK return
IDENFR b
SEMICN ;
RETURNTK return
IDENFR a
SEMICN ;
RBRACE }
INTTK int
IDENFR inner1
LPARENT (
INTTK int
IDENFR dp
LBRACK [
RBRACK ]
LBRACK [
INTCON 501
RBRACK ]
COMMA ,
INTTK int
IDENFR target
COMMA ,
INTTK int
IDENFR size
COMMA ,
INTTK int
IDENFR num
LBRACK [
RBRACK ]
RPARENT )
LBRACE {
INTTK int
IDENFR i
ASSIGN =
INTCON 1
COMMA ,
IDENFR j
ASSIGN =
INTCON 1
SEMICN ;
WHILETK while
LPARENT (
IDENFR i
LSS <
IDENFR size
RPARENT )
LBRACE {
IDENFR j
ASSIGN =
MINU -
PLUS +
MINU -
INTCON 1
SEMICN ;
WHILETK while
LPARENT (
IDENFR j
LEQ <=
IDENFR target
RPARENT )
LBRACE {
IFTK if
LPARENT (
IDENFR j
LSS <
IDENFR num
LBRACK [
IDENFR i
RBRACK ]
RPARENT )
LBRACE {
IDENFR dp
LBRACK [
IDENFR i
RBRACK ]
LBRACK [
IDENFR j
RBRACK ]
ASSIGN =
IDENFR dp
LBRACK [
IDENFR i
MINU -
INTCON 1
RBRACK ]
LBRACK [
IDENFR j
RBRACK ]
SEMICN ;
RBRACE }
ELSETK else
IFTK if
LPARENT (
IDENFR j
EQL ==
IDENFR num
LBRACK [
IDENFR i
RBRACK ]
RPARENT )
LBRACE {
IDENFR dp
LBRACK [
IDENFR i
RBRACK ]
LBRACK [
IDENFR j
RBRACK ]
ASSIGN =
INTCON 1
SEMICN ;
RBRACE }
ELSETK else
LBRACE {
IFTK if
LPARENT (
